BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2026-06-12,815.5,861.0,801.1,12826,1.049234E7,408
2026-06-11,820.0,825.0,815.1,14667,1.20420974E7,400
2026-06-10,825.0,829.9,815.0,23168,1.90817601E7,525
2026-06-09,820.0,820.0,801.0,35953,2.89839327E7,656
2026-06-08,814.0,823.0,806.0,27535,2.23348462E7,687
2026-06-05,820.0,826.0,815.2,23830,1.95021171E7,439
2026-06-04,825.1,875.0,820.0,24769,2.04987577E7,501
2026-06-03,835.9,854.9,826.0,28798,2.42365949E7,626
2026-06-02,835.0,835.0,820.0,27939,2.31244123E7,581
2026-06-01,825.0,864.0,822.1,37590,3.14499938E7,659
